,Nav_GPS1_UTC,Nav_GPS1_Latitude,Nav_GPS1_Longitude
4755,2023-02-04 07:15:15,5.714,84.82
4756,2023-02-04 07:16:15,5.714,84.824
4757,2023-02-04 07:17:15,5.715,84.828
4758,2023-02-04 07:18:14,5.715,84.832
4759,2023-02-04 07:19:15,5.715,84.837
4760,2023-02-04 07:20:14,5.715,84.841
4761,2023-02-04 07:21:14,5.715,84.845
4762,2023-02-04 07:22:14,5.715,84.849
4763,2023-02-04 07:23:14,5.715,84.853
4764,2023-02-04 07:24:14,5.715,84.857
4765,2023-02-04 07:30:14,5.716,84.881
4766,2023-02-04 07:31:14,5.716,84.885
4767,2023-02-04 07:32:15,5.716,84.889
4768,2023-02-04 07:33:15,5.716,84.893
4769,2023-02-04 07:34:14,5.716,84.897
4770,2023-02-04 07:35:15,5.716,84.901
4771,2023-02-04 07:36:14,5.717,84.905
4772,2023-02-04 07:37:15,5.717,84.909
4773,2023-02-04 07:38:15,5.717,84.913
4774,2023-02-04 07:39:14,5.717,84.917
4775,2023-02-04 07:40:14,5.717,84.921
4776,2023-02-04 07:41:14,5.717,84.925
4777,2023-02-04 07:42:15,5.717,84.929
4778,2023-02-04 07:43:14,5.717,84.933
4779,2023-02-04 07:44:15,5.717,84.937
4780,2023-02-04 07:45:15,5.718,84.941
4781,2023-02-04 07:46:15,5.718,84.945
4782,2023-02-04 07:47:14,5.718,84.949
4783,2023-02-04 07:48:14,5.718,84.953
4784,2023-02-04 07:49:15,5.718,84.957
4785,2023-02-04 07:50:15,5.718,84.961
4786,2023-02-04 07:51:15,5.718,84.965
4787,2023-02-04 07:52:14,5.718,84.969
4788,2023-02-04 07:53:14,5.718,84.973
4789,2023-02-04 07:54:15,5.719,84.978
4790,2023-02-04 07:55:14,5.719,84.981
4791,2023-02-04 07:56:15,5.719,84.985
4792,2023-02-04 07:57:14,5.719,84.99
4793,2023-02-04 07:58:14,5.719,84.994
4794,2023-02-04 07:59:15,5.719,84.998
4795,2023-02-04 08:00:15,5.719,85.002
4796,2023-02-04 08:01:15,5.719,85.006
4797,2023-02-04 08:02:15,5.719,85.01
4798,2023-02-04 08:03:15,5.72,85.014
4799,2023-02-04 08:04:15,5.72,85.018
4800,2023-02-04 08:05:14,5.72,85.022
4801,2023-02-04 08:06:15,5.72,85.026
4802,2023-02-04 08:07:15,5.72,85.03
4803,2023-02-04 08:08:15,5.72,85.034
4804,2023-02-04 08:09:15,5.72,85.038
4805,2023-02-04 08:10:14,5.72,85.042
4806,2023-02-04 08:11:14,5.721,85.046
4807,2023-02-04 08:12:15,5.721,85.05
4808,2023-02-04 08:13:14,5.721,85.054
4809,2023-02-04 08:14:14,5.721,85.058
4810,2023-02-04 08:15:15,5.721,85.062
4811,2023-02-04 08:16:15,5.722,85.066
4812,2023-02-04 08:17:15,5.722,85.07
4813,2023-02-04 08:18:14,5.722,85.074
4814,2023-02-04 08:19:14,5.722,85.078
4815,2023-02-04 08:20:15,5.722,85.082
4816,2023-02-04 08:21:14,5.723,85.086
4817,2023-02-04 08:22:15,5.723,85.09
4818,2023-02-04 08:23:15,5.723,85.094
4819,2023-02-04 08:24:15,5.723,85.098
4820,2023-02-04 08:25:15,5.723,85.102
4821,2023-02-04 08:26:15,5.724,85.106
4822,2023-02-04 08:27:15,5.724,85.11
4823,2023-02-04 08:28:15,5.724,85.114
4824,2023-02-04 08:29:15,5.724,85.118
4825,2023-02-04 08:30:15,5.724,85.122
4826,2023-02-04 08:31:15,5.725,85.126
4827,2023-02-04 08:32:15,5.725,85.13
4828,2023-02-04 08:33:14,5.725,85.134
4829,2023-02-04 08:34:15,5.725,85.138
4830,2023-02-04 08:35:14,5.725,85.142
4831,2023-02-04 08:36:15,5.726,85.146
4832,2023-02-04 08:37:15,5.726,85.15
4833,2023-02-04 08:38:15,5.726,85.154
4834,2023-02-04 08:39:14,5.726,85.158
4835,2023-02-04 08:40:14,5.726,85.162
4836,2023-02-04 08:41:14,5.726,85.166
4837,2023-02-04 08:42:15,5.727,85.17
4838,2023-02-04 08:43:15,5.727,85.174
4839,2023-02-04 08:44:14,5.727,85.178
4840,2023-02-04 08:45:15,5.727,85.182
4841,2023-02-04 08:46:15,5.727,85.186
4842,2023-02-04 08:47:14,5.728,85.189
4843,2023-02-04 08:48:15,5.728,85.193
4844,2023-02-04 08:49:14,5.728,85.197
4845,2023-02-04 08:50:15,5.728,85.201
4846,2023-02-04 08:51:15,5.728,85.205
4847,2023-02-04 08:52:14,5.729,85.209
4848,2023-02-04 08:53:14,5.729,85.213
4849,2023-02-04 08:54:15,5.729,85.217
4850,2023-02-04 08:55:14,5.729,85.221
4851,2023-02-04 08:56:14,5.729,85.225
4852,2023-02-04 08:57:15,5.73,85.229
4853,2023-02-04 08:58:15,5.73,85.233
4854,2023-02-04 08:59:15,5.73,85.237
4855,2023-02-04 09:00:14,5.73,85.241
4856,2023-02-04 09:01:15,5.731,85.245
4857,2023-02-04 09:02:15,5.731,85.249
4858,2023-02-04 09:03:15,5.731,85.253
4859,2023-02-04 09:04:15,5.731,85.257
4860,2023-02-04 09:05:15,5.731,85.261
4861,2023-02-04 09:06:14,5.732,85.265
4862,2023-02-04 09:07:15,5.732,85.269
4863,2023-02-04 09:08:14,5.732,85.272
4864,2023-02-04 09:09:15,5.733,85.276
4865,2023-02-04 09:10:14,5.733,85.28
4866,2023-02-04 09:11:14,5.733,85.284
4867,2023-02-04 09:12:15,5.734,85.288
4868,2023-02-04 09:13:15,5.734,85.292
4869,2023-02-04 09:14:15,5.734,85.296
4870,2023-02-04 09:15:15,5.734,85.3
4871,2023-02-04 09:16:15,5.735,85.304
4872,2023-02-04 09:17:14,5.735,85.308
4873,2023-02-04 09:18:15,5.735,85.312
4874,2023-02-04 09:19:15,5.736,85.316
4875,2023-02-04 09:20:15,5.736,85.32
4876,2023-02-04 09:21:14,5.736,85.324
4877,2023-02-04 09:22:15,5.737,85.328
4878,2023-02-04 09:23:15,5.737,85.332
4879,2023-02-04 09:24:14,5.737,85.336
4880,2023-02-04 09:25:14,5.737,85.339
4881,2023-02-04 09:26:14,5.738,85.343
4882,2023-02-04 09:27:15,5.738,85.347
4883,2023-02-04 09:28:14,5.738,85.351
4884,2023-02-04 09:29:14,5.739,85.355
4885,2023-02-04 09:30:14,5.739,85.359
4886,2023-02-04 09:31:14,5.739,85.363
4887,2023-02-04 09:32:14,5.739,85.367
4888,2023-02-04 09:33:15,5.74,85.371
4889,2023-02-04 09:34:15,5.74,85.375
4890,2023-02-04 09:35:15,5.74,85.379
4891,2023-02-04 09:36:15,5.741,85.383
4892,2023-02-04 09:37:14,5.741,85.387
4893,2023-02-04 09:38:14,5.741,85.391
4894,2023-02-04 09:39:14,5.742,85.395
4895,2023-02-04 09:40:14,5.742,85.399
4896,2023-02-04 09:41:15,5.742,85.403
4897,2023-02-04 09:42:15,5.742,85.407
4898,2023-02-04 09:43:14,5.743,85.411
4899,2023-02-04 09:44:14,5.743,85.415
4900,2023-02-04 09:45:14,5.743,85.418
4901,2023-02-04 09:46:15,5.744,85.422
4902,2023-02-04 09:47:14,5.744,85.426
4903,2023-02-04 09:48:15,5.744,85.43
4904,2023-02-04 09:49:14,5.745,85.434
4905,2023-02-04 09:50:15,5.745,85.438
4906,2023-02-04 09:51:14,5.745,85.442
4907,2023-02-04 09:52:15,5.746,85.446
4908,2023-02-04 09:53:14,5.746,85.45
4909,2023-02-04 09:54:15,5.746,85.454
4910,2023-02-04 09:55:14,5.747,85.458
4911,2023-02-04 09:56:15,5.747,85.462
4912,2023-02-04 09:57:14,5.747,85.466
4913,2023-02-04 09:58:14,5.748,85.47
4914,2023-02-04 09:59:15,5.748,85.474
4915,2023-02-04 10:00:15,5.748,85.478
4916,2023-02-04 10:01:14,5.748,85.482
4917,2023-02-04 10:02:14,5.748,85.486
4918,2023-02-04 10:03:15,5.749,85.49
4919,2023-02-04 10:04:14,5.749,85.494
4920,2023-02-04 10:05:14,5.749,85.498
4921,2023-02-04 10:06:14,5.749,85.502
4922,2023-02-04 10:07:15,5.749,85.506
4923,2023-02-04 10:08:15,5.75,85.51
4924,2023-02-04 10:09:14,5.75,85.514
